DXCode,Description,"2020 CMS-HCC
Model
Category
(V24) ",V24 HCC Description,V28ID,V28HCCDescription,"2020 CMS-HCC Model
Category
(V24) for 2024
Payment Year","2024 Proposed CMS-HCC Model
Category
(V28) for 2024
Payment Year",Same HCC Description  
A0103,Typhoid pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A0104,Typhoid arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A0105,Typhoid osteomyelitis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A021,Salmonella sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A0222,Salmonella pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A0223,Salmonella arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A0224,Salmonella osteomyelitis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A065,Amebic lung abscess,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
A072,Cryptosporidiosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A202,Pneumonic plague,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A207,Septicemic plague,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A212,Pulmonary tularemia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A221,Pulmonary anthrax,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A227,Anthrax sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A267,Erysipelothrix sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A310,Pulmonary mycobacterial infection,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A327,Listerial sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A3681,Diphtheritic cardiomyopathy,85,Congestive Heart Failure,227,Cardiomyopathy/Myocarditis,Yes,Yes,NO
A391,Waterhouse-Friderichsen syndrome,23,Other Significant Endocrine and Metabolic Disorders,,,Yes,No,NO
